title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A mobile transaction model that captures both the data and movement behavior,"MH Dunham, A Helal, S Balakrishnan - Mobile Networks and Applications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1013672431080,http://jotm.objectweb.org/related/p149-dunham.pdf,,,1,298,No DOI available
Transaction processing in mobile computing environment,"PK Chrysanthis - Advances in Parallel and Distributed Systems …, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/588792/,https://www.computer.org/csdl/proceedings/apads/1993/5250/00/00588792.pdf,,,1,241,No DOI available
Tcot-a timeout-based mobile transaction commitment protocol,"V Kumar, N Prabhu, MH Dunham… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039846/,https://pdfs.semanticscholar.org/ea61/e731c1fe8598cc6a238ad25f7d9cc4bc8464.pdf,,,1,128,No DOI available
Mobile computing and databases: Anything new?,"MH Dunham, A Helal - Acm Sigmod Record, 1995 - dl.acm.org",1995,https://dl.acm.org/citation.cfm?id=219727,https://www.ime.usp.br/~weslley/cursos/redesMoveis/anythingnew.pdf,,,1,248,No DOI available
Mobile transaction management in mobisnap,"N Preguiça, C Baquero, F Moura, JL Martins… - Current Issues in …, 2000 - Springer",2000,https://link.springer.com/chapter/10.1007/3-540-44472-6_33,https://repositorium.sdum.uminho.pt/bitstream/1822/38927/1/700.pdf,,,1,40,No DOI available
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1227&context=comsci_facwork,,,1,86,No DOI available
A transaction model to improve data availability in mobile computing,"SK Madria, B Bhargava - Distributed and Parallel Databases, 2001 - Springer",2001,https://link.springer.com/article/10.1023/A:1019232412740,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/transactions/DPD_01_transaction_model_improve_data_availability.pdf,,,1,97,No DOI available
Isolation-only transactions for mobile computing,"Q Lu, M Satyanaranyanan - ACM SIGOPS Operating Systems Review, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=198164,http://www-2.cs.cmu.edu/afs/cs/project/coda-www/ResearchWebPages/docdir/osriot94.pdf,,,1,102,No DOI available
A timeout-based mobile transaction commitment protocol,"V Kumar - Current Issues in Databases and Information Systems, 2000 - Springer",2000,https://link.springer.com/chapter/10.1007/3-540-44472-6_28,"ftp://nozdr.ru/biblio/kolxo3/Cs/CsLn/C/Current%20Issues%20in%20Databases%20and%20Information%20Systems,%20ADBIS-DASFAA%202000(LNCS1884,%20Springer,%202000)(ISBN%203540679774)(408s)_CsLn_.pdf#page=351",,,1,33,No DOI available
Moflex transaction model for mobile heterogeneous multidatabase systems,"KI Ku, YS Kim - Research Issues in Data Engineering, 2000 …, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/836498/,No PDF available,,,1,63,No DOI available
Revising transaction concepts for mobile computing,"E Pitoura, B Bhargava - Mobile Computing Systems and …, 1994 - ieeexplore.ieee.org",1994,https://ieeexplore.ieee.org/abstract/document/513477/,http://jotm.objectweb.org/related/mobile94.pdf,,,1,104,No DOI available
Presentation of sponsored content based on mobile transaction event,"J Ramer, A Soroca, D Doughty - US Patent 7,702,318, 2010 - Google Patents",2010,https://patents.google.com/patent/US7702318B2/en,No PDF available,,,1,204,No DOI available
A framework for analyzing mobile transaction models,"R Hirsch, A Coratella, M Felder… - Journal of Database …, 2001 - igi-global.com",2001,https://www.igi-global.com/article/journal-database-management-jdm/3267,No PDF available,,,1,20,No DOI available
An evaluation of real-time transaction management issues in mobile database systems,"E Kayan, Ö Ulusoy - The Computer Journal, 1999 - academic.oup.com",1999,https://academic.oup.com/comjnl/article-abstract/42/6/501/365474,https://pdfs.semanticscholar.org/fa25/d287c15b6f9590b749ff3024e1f6d6a019d4.pdf,,,1,54,No DOI available
Location dependent data and its management in mobile databases,"MH Dunham, V Kumar - Database and Expert Systems …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/707433/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.25.6708&rep=rep1&type=pdf,,,1,152,No DOI available
